"num","team","total_epa","auto_cycles","auto_points","teleop_cycles","teleop_points","total_cycles","total_points","links","cube_cycles","cube_points","cone_cycles","cone_points","bot_cycles","mid_cycles","top_cycles","fouls_committed","fouls_drawn","capped_fouls_committed","capped_fouls_drawn"
"1810","CATATRONICS","35.6","1","5.6","2.8","11.8","3.7","21.4","0.8","1.1","5.4","2.6","12","0.8","-0.1","3","1.2","0.4","1.4","0.5"
"4063","TriKzR4Kidz","35.6","0.6","4.2","4.8","18.2","5.4","28.6","1.2","2.3","7.5","3.1","14.9","1","1.2","3.3","1.8","2.9","2.3","2.7"
"509","Red Storm","35.6","1","5.5","3.9","12.9","4.9","24.2","1.2","2.5","7.6","2.4","10.8","2","0.4","2.4","0","0.7","0","0.8"
"4004","M.A.R.S. Rovers","35.6","0.7","3.4","3.9","15.4","4.6","22.3","0.7","1.8","7.7","2.8","11.1","0.9","1.2","2.6","0.8","0.7","0.9","0.7"
"2106","The Junkyard Dogs","35.5","1.2","6.7","5.1","18.7","6.3","33.7","1.7","2.7","9.5","3.7","16","1.1","2","3.2","1.6","0.3","1.9","0.2"
"3008","Team Magma","35.5","0.9","2.5","4.3","12.7","5.1","22.4","1.4","2.8","7.4","2.3","7.8","2.9","1.4","0.9","0.1","0.3","0.3","0.1"
"7536","ANKA ROBOTICS","35.5","1","4.5","4.1","13.4","5","24.1","1.2","2.3","8.1","2.7","9.7","0.9","2.8","1.3","2.2","14.8","2.1","6.1"
"5338","RoboLoCo","35.5","0.7","4.6","5.2","21.8","5.9","33.8","1.5","1.6","7.3","4.2","19","0.3","1.4","4.2","1.6","0","1.8","0"
"8852","Drew Robotics","35.5","1.1","6.1","3.1","11.4","4.2","23.1","1.1","2.4","9.1","1.7","8.4","1.5","-0.1","2.7","4.6","0.2","4.4","0.2"
"7447","Rōnin Robotics","35.5","0.8","2.7","4.4","11","5.3","22.1","1.7","4.3","10.2","0.9","3.5","3.9","0.9","0.5","3.4","0","2.8","0"
"1592","Bionic Tigers","35.5","1","4.5","4.5","13.6","5.5","24.9","1.4","2.2","8.4","3.2","9.7","1.9","2.2","1.3","1.3","3.4","1.2","2.2"
"63","McDowell Robotics Team 63","35.4","1","4.2","3.2","12.9","4.3","22.4","1.1","1.4","4.6","2.9","12.5","1.3","0.7","2.3","3.3","2.8","3.2","2.3"
"1982","Cougar Robotics","35.4","0.8","4.7","3.4","9.7","4.2","19.8","1.1","2.6","8","1.6","6.5","2.2","0.5","1.6","1.6","3.3","1.8","3.5"
"6168","alzahrawi","35.4","1","6.2","3.8","17.5","4.8","29.9","1.3","0.8","5.8","4","17.8","-0.2","1","4","2.5","3.1","2.4","3.1"
"7522","Make 1 Robot","35.4","1","5.7","2.9","12.8","4","23","0.9","1.2","6","2.8","12.5","0.6","0.2","3.2","0.5","0.8","0.4","0.8"
"217","ThunderChickens","35.4","0.8","3.8","5","18.6","5.9","30.8","1.7","1.9","7.3","4","14.9","1.1","2.3","2.4","0.5","0.6","0.5","0.6"
"3679","rattlers","35.4","1","5.5","5","14.4","6","26.7","1.4","4.5","14","1.4","6","2.9","1.1","2","0.2","0.7","0.3","0.7"
"5985","Project Bucephalus","35.4","0.7","4.4","4.9","14.6","5.6","26.3","1.4","2.3","6.8","3.3","12.4","2.6","0.8","2.2","0","0.7","0","1.6"
"5572","ROSBOTS","35.4","1","5.2","4.8","12.7","5.8","25.5","1.5","4.2","11.8","1.6","6.2","3.2","1.1","1.4","0.9","2.8","0.9","2.8"
"2465","Kauaibots","35.4","0.9","5.7","3.2","12.7","4","22.8","0.9","1.1","6.4","2.9","11.9","0.2","1","2.8","0.7","1.3","0.9","1"
"2976","The Spartabots","35.4","1.1","6.1","3.4","11.9","4.5","23.3","1.1","1.8","6.6","2.7","11.4","1.7","0.4","2.5","2.4","0.4","1.6","0.5"
"5910","Supertronix","35.4","0.2","0.5","3.5","8.3","3.7","14.8","1.2","3.4","7.8","0.3","1","3.2","0","0.4","4.6","6.8","4","6.1"
"6738","Excalibur","35.3","0.9","3","4","11.9","5","22.6","1.6","3.6","9.2","1.3","5.6","2.5","1.7","0.8","1.5","2","1.7","2.2"
"75","RoboRaiders","35.3","0.9","5.6","3.5","11.4","4.4","22.8","1.2","1.3","4.8","3.1","12.2","1.7","0.4","2.3","4.1","0.3","3.5","0.7"
"1792","Round Table Robotics","35.3","1.1","6.3","3.9","13.8","5.1","25.5","1.1","1.7","7.8","3.4","12.5","-0.2","3.3","1.9","1","0","1.1","0"
"1285","The Big Bang","35.3","1.4","7.3","4.9","14.5","6.2","28.4","1.3","5.1","14.8","1.2","7","3.6","-0.1","2.7","2.1","0.1","2.2","0.3"
"1610","⛴ Blackwater Robotics ⛴","35.3","0.9","4.4","4.9","16.5","5.8","28.8","1.6","3","9","2.8","11.9","2.6","0.5","2.7","0.4","2.7","0.6","1.4"
"5740","Trojanators","35.3","1.2","6.1","3","11.1","4.2","21.8","0.9","0.7","3.8","3.5","13.4","1.2","0.6","2.4","0.9","0.7","0.9","0.5"
"8214","Cyber Unicorn","35.3","1","3.8","4.9","14","5.9","25.6","1.6","2.1","6.2","3.8","11.5","1.7","3.9","0.4","0.6","1.4","0.6","0.9"
"1111","Power Hawks Robotics","35.3","1.2","6.2","4.6","12.9","5.7","27.4","1.6","0.9","3.9","4.9","15.3","3.4","0.2","2.1","0.1","0","0.3","0"
"6996","Koalafied","35.2","0.8","4.8","3.2","12.6","4","22.1","0.9","1","3.8","3.1","13.6","1.2","0","2.8","1.4","0.9","1.4","1.4"
"7480","Machine Mavericks","35.2","1.3","7.7","3.3","13.1","4.5","26.7","1.2","1.5","7.7","3.1","13.1","0.1","1.4","3","0.8","3.8","0.9","3.7"
"1729","Team Inconceivable!","35.2","0.1","0.8","4.6","15.1","4.8","21.5","1.1","2.1","6.6","2.6","9.3","2","1","1.7","0.2","0.4","0.1","0.4"
"4005","Hostile Gato Robotics","35.2","1.3","7.3","4.1","15.2","5.4","29","1.3","1.7","7.5","3.7","15","1.9","0.1","3.4","1.6","2.4","1.5","2.4"
"3128","The Aluminum Narwhals","35.1","1.1","4.2","4.8","13.4","5.9","25.8","1.6","3.6","9.5","2.3","8.1","3.5","1.4","1.1","1.4","1.4","2.1","1.5"
"379","The RoboCats","35.1","1.1","5.8","4","14.3","5","26.3","1.2","1.5","6.2","3.6","14","1.4","1","2.7","0.6","0.5","0.1","0.5"
"4230","TopperBots","35.1","0.8","4.4","3.2","13","4","21.9","0.9","1.4","5.8","2.6","11.6","0.5","0.9","2.6","2.8","4.9","2.3","2.2"
"6341","Firestorm Robotics","35.1","1.1","6.5","3.4","12.6","4.5","25.8","1.3","2.3","8.9","2.2","10.3","1.9","-0.6","3.2","1.6","0.2","1.6","0.4"
"6897","Astraea Robotics","35.1","0.9","4.2","4.4","16.2","5.3","28.2","1.6","1.7","6.9","3.5","13.5","1.4","1.2","2.6","3.1","0.7","3.1","0.9"
"3100","Lightning Turtles","35.1","0.7","4.5","3.1","11.3","3.9","19.6","0.8","1.7","7.1","2.1","8.7","1.1","0.5","2.3","0.9","1","0.8","1"
"8749","Farmersville  Robotics","35.1","1","3","5.4","13.6","6.4","24.9","1.7","5.5","12.8","0.9","3.8","4.7","1","0.6","1.6","0.2","1.7","0.2"
"5557","BB-R8ERS","35.1","0.7","3.7","4.8","13.4","5.5","25.6","1.7","4.4","11.1","1.2","5.6","3.7","0.2","1.6","1.8","0.3","1.4","0.2"
"8567","Wellesley Robotics - Team U...","35.1","0.7","3.9","4.8","17.6","5.4","28.5","1.4","2.1","7.7","3.4","13.9","1.2","1.4","2.9","0","0","0.1","0"
"3136","Official Robotics Construct...","35","1.1","5.2","4.8","15.4","5.8","29.2","1.7","3","9.5","2.8","11.2","2.4","1","2.4","0.3","2.6","0.3","1.1"
"7454","Huskies on Hogs","35","0.7","4.2","3.5","14","4.2","23.7","1.1","1.5","6.9","2.7","11.3","0.7","0.6","2.9","0.9","1.2","0.9","1.3"
"8725","MistyPanther","35","0.9","5.4","3.6","13.6","4.5","23.6","0.9","1.5","7.5","3","11.5","1.3","0.4","2.9","0","0","0.2","0"
"527","Red Dragons","35","1","5.7","3","13.3","4","22.8","0.8","1.5","7.4","2.5","11.6","0","1","3","1.1","2.3","1","2.2"
"3492","Putnam Area Robotics Team (...","35","1.3","4.6","3.5","8.9","4.9","20.1","1.3","4.2","10.4","0.6","3.2","3.9","0.2","0.8","1.2","2.3","1.3","2.4"
"231","High Voltage","35","0.9","3.7","4.6","15.7","5.5","27","1.5","2.2","7.2","3.3","12.1","1.3","2.7","1.6","0.9","1.1","0.9","1.2"
"8531","TermiKnightors","35","0.7","2.9","4.1","13.3","4.8","22.5","1.2","2.9","8.5","1.9","7.8","1.7","1.6","1.5","2.9","0.1","2.7","0.1"
"6344","Yale Jiggawattz","35","1.1","4.2","3.9","12.9","5","22.5","1.1","3","10.8","2","6.5","1.7","1.8","1.4","1.4","1.1","1.3","0.7"
"6348","PrepaTec - HORUS","35","1.1","6","2.4","11.3","3.5","21.1","0.8","1.6","8","2","9.3","0.3","0.3","2.9","0","0","0","0"
"4153","Project Y","34.9","0.9","4.5","4.8","12.9","5.7","25.6","1.6","4.4","11.5","1.3","5.9","3.3","1","1.4","1.2","0","0.9","0"
"6637","BetaWolves","34.9","1.1","6.8","2.9","11.9","4","22.3","0.7","1.5","7.6","2.4","11.1","0.5","0.3","3.1","0.9","1.9","1.1","1.9"
"7054","SC Sailors","34.8","1","6.2","3.2","11","4.3","22.4","1.1","1.8","7.2","2.5","9.9","1.6","0.2","2.5","0.5","1.2","0.5","1.3"
"8808","SWLA Tech Pirates","34.8","0.6","3.3","4.7","16.1","5.3","23.4","0.8","3.5","12.1","1.9","7.3","1.7","1.4","2.2","0.1","1.7","0.2","1.8"
"716","Who'sCTEKS","34.8","0.5","3.7","2.9","10.4","3.4","18.2","0.8","1.5","5.5","1.9","8.6","1.3","-0.2","2.3","2.6","0.1","2.6","0"
"4198","RoboCats 4198","34.8","0.7","2.2","4","15.7","4.7","24.4","1.3","1.9","6.2","2.8","11.7","1","1.5","2.1","1.6","3.5","1.6","3.2"
"1710","The Ravonics Revolution","34.8","1.1","5.9","5.4","14.3","6.5","28.9","1.7","5.8","15.8","0.7","4.4","4.1","0.6","1.8","1","3.2","1.1","3.3"
"3616","Team Phenomena 3616","34.8","0.9","4.3","5.3","15.9","6.3","28","1.6","2.1","8.6","4.2","11.6","2.3","2.7","1.3","0.5","1.8","0.5","2"
"6964","BearBots","34.8","1.3","6","2.7","9.1","4","19.4","0.9","1.3","4.6","2.7","10.5","0.6","2.2","1.2","0.2","0.3","0.2","0.4"
"997","Spartan Robotics","34.7","0.8","2.4","3.2","9.8","4.1","18.4","1.3","3.1","7.8","1","4.4","3","0","1.1","0.7","3.7","0.6","1.2"
"3739","Oakbotics","34.7","1","4.9","4.8","13.7","5.8","25.7","1.4","2.3","7.8","3.5","10.8","1.2","3.9","0.7","0.9","0.3","0.9","0.3"
"5607","Team Firewall","34.7","0.7","2.3","4.1","13.2","4.8","20.9","1.1","3.1","9.6","1.7","5.9","2.5","0.9","1.4","1.8","5.1","1.7","5"
"3316","D-Bug","34.7","0.8","2.4","4.3","13.2","5.1","20.6","1","2","6.6","3.1","9.1","1","3.9","0.2","0","1.4","0","1.6"
"5653","Iron Mosquitos","34.7","1.4","5.6","4.7","12.7","6.1","26.1","1.6","5.6","14.9","0.5","3.4","4.3","0.3","1.5","3.8","0.3","3.6","0.3"
"4905","Andromeda One","34.6","1.2","5.8","2.9","11.7","4.2","22.4","1","1.7","7.5","2.5","10.1","0.9","0.9","2.4","0.5","1.6","0.7","1.5"
"1622","Team Spyder","34.6","1.1","5.6","4.9","15.8","6","30.5","1.8","2.2","7.1","3.8","14.2","2.7","0.8","2.5","0","1.7","0","1.9"
"5084","Team FridgeBot","34.6","1.2","5.4","3.6","12.3","4.8","22","0.9","4","13.9","0.8","3.8","1.6","1.3","1.9","4.4","1.1","4.1","1.1"
"4653","Ironmen Robotics","34.6","0.8","1.9","4.2","12.2","5","21.2","1.4","2","6.2","2.9","7.9","3.3","0.8","0.9","2.1","3.2","2.1","3.1"
"61","The Intimidators","34.6","0.8","4.7","4.6","12.1","5.4","21.9","1","3.6","10.4","1.9","6.3","2.6","1.7","1.1","3.3","0","2.6","0"
"6861","The Tyros Team","34.5","0.7","3.4","4.4","11.8","5.1","22.6","1.5","5","12.6","0.1","2.7","4.4","-1.1","1.8","0","0","0","0.2"
"4160","The RoBucs","34.5","0.9","4.5","4.2","12.4","5.2","23.9","1.4","3.8","11.3","1.4","5.6","2.9","0.5","1.7","1.8","0","1.7","0"
"5431","Titan Robotics","34.5","1.2","6.4","4.8","18","6.1","32.9","1.7","2.5","9.8","3.5","14.7","1","2","3","0","0.2","0","0.3"
